,review,sentiment
0,"[ 1384   173     6     3 14999   412    36   912    29     1     7  1979
    15     0   824     4 10111     2    42   151    21  1930     1     9
   138   111    76   199    22 10111     2    11    94    28   172     4
    59 14384  1892    10   412     1     7   123  2709     0 14999   409
    61     6    48   329  9614    36     0   876   412     1    18     0
  9052   129    39     1    61     6  2289    85    11   301   264    30
     0   448     4     0   412     1     9   103     7    12  2816    11
     3   336   213    58  2618     5 14999     8     0   651     4     3
   322  6125   240     1     2    24  7465   350     0   240   495  2463
     5   359 14999  1119     1    39    12    57     3   597   587     4
  1776  8039  8883   397     5   374     0   412 14458     1    44    20
   175    83 10111   266    10   412     6    56   125  5289     1    44
    20   175    23    93    30   221    20    50   830    47 14999     6
     1]",0
1,"[    0    17    13    53   776     1     7    13  4532     2   157    30
     0   168    60     1     0  1359    13   421   311     1   779 14999
     2   817 12523   507  1471  2041   343     1 14999 14999    13    80
     1     9   375   672     5     0    65   362    41   172    67     5
    28  1335    18     9   117   629     9    94    27   110    52     4
 14999     6     3   297  5214    20    84    28   470     5  2205  2334
    36   125   195   120  2130     8     3  1140    95   100   309    10
    17     1    70    68  5903     5    66   817 12523    30     3  3662
     2     3   100     0   790     1    24     6     3   387   127   989
 13727     2     3   147   389     1     7    13   363    34   718   308
    46    10     6     3   207    66    17     1    20    84    28    37
  5801    20   400     1]",1
2,"[  373     1   421   373     1    55   113    55   223    55   129     1
     7   281    38     0   156   653     0   372    22     2    93     0
   217   843   400     5  5566     1   171   258     1     9   140   254
     5   194    10   391   239    18    55    29    84   191     7     1
     9   140   708     7     3   294     4     3    85     9    38 12113
     1  2134     9   140   164     5    27     5   136  3813   188    22
    10    29     1]",0
3,"[    9   441    11     0    17    13  2348    53  1321    55   113   762
  4544    16   139     5   543     2   160   117  2348    14     3  4215
     3 14999     4   283    29     4 14999  1527   246   105    44    20
    88    21   257    69   845     3   170  1735     7    84    28    46
    22   272    85    11   183     5    28     3  6043    16    99    11
    88    21    82    72     8     0  2116    25    46    14 14999   162
     0   332     6   132     1    10     6    29    20    84    23   180
     5    66    40   136   135   117     9  1107    59   283    22    11
     1   867    16     7   108   141     3   163    17    39    68    63
    78     8     0   150     7     1    10    13    22     3  2070   308
     0   757     1     9    81   441    11     7   902    48    52  2318
    40   139     5   374   179  4405     1    51    32   102  4429     8
     0    17     0  2330    68    81    53   469    20    94    23   828
    47    32    68   622     1]",0
4,"[    9    13   181  3810     5   166    10    17     8     0   691   391
  3316    71  3293  1566     8     3   201   289     8     0  6257   156
  3502 14999    37   230    47    12    23     5    38     1     7    12
     0   429     4    19    11    45    69  1515   109   178    71    51
   117    31   557   563    48  4736  1350   924    32    67     3  2290
    22    62   900     2    47    12     0   246   149    43     7   743
     3   621     4 14999  1379     1   133 12835     0    89    18    59
  1917    16     0  1636   263     5     0  7173   714  1403     4     0
 14999   520  2092   224     0  9096  1252     0   587     4  4469     2
 12228  3438     2     0   587     4 13262   198     0   102     1    20
    27     5   694    53  4281   115     5     0  2752    18     7    12
  4230    11     0   153    68  2660    15    10   506     2     8  1583
   302 14999     1   181   398    32    50  1011    77    62   399    46
  1600   190     1  3293  1566   486     5  2135    26   643  1320     2
 14999  3276    18    30   212   183  7386     2 14999     8    26  2633
     1     9    27     5   136   189    11     9    13  9755    51     0
  2523 14999    26   104    84    28  7911    15     0 14999  5019 13914
 12497   143   239    15     0  1199     4 14415  2617     1    47    12
     5    38    43     0    19     1    71    16    69 14999     0   944
     4  2617    35    81  1351    15  8165     2     3  1568 14999  3918
     1  1211  1363     0    19     6   329     5   165    30     1     0
  8720   102    25    53  1265     8    62  6704    71   189    20    27
     5   363   573    30     0  7724   316  2725 14999 14999    32    88
     8    62  8412  1426 11246     1    57  1566    50    21   165  4440
     8    26     1   145     5     0  1057   504  1428 14999   123     3
  8272   296    15    26   104     2    16    69    39    13    34   579
     8  2215     3 14999    12  1490 10166 14999  1076   203    34  5119
  1024  1176     1]",0
5,"[   49  1686     1     2    11   554    36    34 13331    10    17     6
    75    74    45   467    76   299    33     0  1982   162     0   674
    35  1553    10   424     2  1808     5    61     9  1382  1010     9
    42    38     5   694     3   170   178   743     0   280   433    35
    67     5  1840    62   195 14999   129  7269   192  7117    56    33
    34  5611  3534    33     3 14999    67    62  4340  2718   239    71
     0 13991  2410     0   246  1679   134   253     5  1733     5     0
   240    12  2150     2  1085 14999    30     0  3839  2337    14    82
    70    18    30   221    70    27     0  6220     4     0  5043  3387
    67     0   156   634    46     0 14999     2  2150  7865     2 14999
   137   252  2141    58    27    76   132   100   226     0    63   178
    11    96    10   485    30   221   632  7790    25  3168 14999    12
  8913    29   223   810     7     1    88    21   780     7     1    88
    21   447   125    60     1     2   125  6381     1    59  1256     6
    37  8915   100   150    10     9   232     0 14999   357     5   106
     2  2636     1 14999   204   148     1]",0
6,"[    9    42   192    10   391   320     2     9    13   150     7   227
   308     1     0   115   648    46   542    75 14999    18   192    53
    49   521   100 14999     1     0 14999   555   542  1135     2   107
     4     0  1482   284    68    53  7239    18     0   130    15     0
   330  6299   950     2     0  9678   936   108  2718   185     2  2048
    46    68   542    72   225     2    42    43    22  2788    15    99
    38 14999     1     0   137     4 13441    68    81   542    72   225
    98     1     0    65    13    53    72   440     2     7    12  2286
     5    66     3    17    38    10  7296   239    36     0   168   174
  1478 14999    99     4    10   489   183     5    27    76  1437     8
    16   155   134    10    17    67     3    53   935  1469     4  3621
     2   115   483    10  5061    34     3     8    59   291     1]",1
7,"[    9   403    21   845     5    66    10    17     1    43   355    95
   144     0    17     9   403    21   845    16     7     5   129     1
    31     4     0   477   153    68  3821    62   399    38  2157  1399
    67    42   299   136     7    38    10    93    32   299    62   399
    22   273    38    32    68   254     5  8705  2157  1399     1     7
    13    37   606     1    70    31   119    87    84  9703    64  2112
     2    24   151    21  5724   132    26   658    38   455  1399     1
     0   201  4233     4    10    19    13    42    14   335    14     0
  1608     2   392   111   157    40    57   406     1     9   207   966
    11     9    27   111    76     3   652  2157  1399   324     2    10
    17   392    45    23 10007    69     1     9   103    11    26   491
    13    42    14    75    14    26   445     1    10    17    84   143
   188    14    29     4     0   246    99     9    27   122   110     1]",0
8,"[   10    19 14999   382    36     0 11184   573     4     0   404   651
  3419    33 14717    44 11540 14999     5 10802  5336     8     0   494
     1     8    29   130     0   372  9737     8    22     3  6489 14999
 14999    14     3  2115 14999 14999     2  6929    46     4     7     1
     8   158     0   372     6 14999     8     3  6247     4   355 14999
  1518     2  2835  5306    14   498     4     3 14999 14013  2394     8
    36     0 14999     2 14999    83     0 12126     1     8     3   459
  2837   834  1051     0   372   301     0   494    22     3  6359  1174
   144     3  2247     4  1562 14999  1109     1   464     9   140    23
   255   101     4    10    56     1    66    10    19    44    20   207
    18   696   125  6678  2958     2    88    21    27 14999 14013  8295
     1]",0
9,"[    9   114   662    12   626    38     0   659     6    40   132     0
   408   659   213   316 14999  2188  1942  3512     1    24     6    42
   575     1  2404    12  1825     5  1280    56    22    86     5     1
    49   149   662    12    23    22     0   723  1489     8     3    95
    40   317     7    58    27    76  7684 14999     1     9    42   114
    31     0  1774   912     3   116   348     9    27     5   966     0
   102    25    80     0   153    25    80     9   140  1825     5  1200
    56  2832  2823     2    52    36   662  2404     2 14999  1012     7
    42    31 14999   600     2  1071 10392     1    62     9   143   173
     1   735     9   140    81  1825     5  1200    56  6087    36  3269
     2    31     4    10     6  1773    59   693 14999     1    72     5
  6551     9   103     7    12    49    16   158   280  2519    40    37
   256    44    32   374    22 10990     0   729    15    31    10   443
   444   196     2    37  2406     1]",1
10,"[   59   380   533    69     5    66    10    19    14     3   509     2
     9   202     5    66     7   171   332    14     9    82    31     4
    59    79  1296  2615     1    47     9   385    90    13     0   633
  1817     2  2946   275   144    26 14999     1     9  4544     2   555
   144     0    21  2107     1  3246   248   332   100    11     5    66
    51     7    58    28   604     1     9    58   605   166     7   388
    22     3  2288  2836     1     9    63   250     0    17     8   641
    61   533   139   303   239    36     0    19     2    27 14999     5
   166     3   955     4     7     8  1897     1     9  1004    10    19
  3052     5    59   522     2    27   111  3244    36  4219    14   384
   231  1424     1   413     7     6     3   262    19    43  2946  7136
     2    11     6    47   161     7   303     2   931     1     9    50
    21   845     5    77     3   955     4    10    19     2   106     7
    15    59   407    14     9  1213     5    91    59   512   498     2
  1815     1]",1
11,"[ 1033    89   126   160    64   543     8    10    17    79    73     3
   242  7857  4961     1   328     7   285    21   642     1   842     7
    67     0   246   745     4   101    17   122     1   278    69  3874
     1     0   471    13  1986    33   341 14999    40 14999     9   140
    23   247    61    37   278    12    42   143    15 14999     1     0
    17  3572   219    52     2    52  1766     2     0    78 14999     2
 14999  5153    20     5   473    56     0  5601     9   298    10    30
   340     1    93 14999 14999    48    64  1402   930    15  1442   642
  1537  1152  5153    20     5   903  2466     0  5601   173     1    10
  3464   107   212   350  9197     0    17   619     1     9    50   426
 14999   991 14999    36   514     0 14999  3029   134   150     0  2206
   510 14999  4972    16     0  2664   248    60     1    44    20    27
   407     2  2567     5   106   642    99   100    32   755  2399    10
    29     6     3   199  1378     1    18    93     7    12     3   199
  1378   541     1   128    12     3   197    44    20   175   164     5
    97     3   184    17    30   221   694     3  2223 14999     3  3395
  4464   240    35  3644    30     0   408     4    41 14191    42   162
    54    50   191   126    41 14999     0  2793    22     0  1728     4
   279   108  4408  1108    42    46     4     0   372  1971     3  1212
   108  1285    30     0   372     5  2336     0   304    48 14999  9789
    15     3 10911   439    40     3   767    35   281    38     3   899
   546  2559     8 14999  7501     3  1061   251    12   411     8   753
     1   131    78   152    21    57   342     5  2336    69     1    32
    42   461     5  1446    59  4172     1]",0
12,"[  259     0 10205    45    48   182    49   115    33  2262   761  5941
     2    48   787   660    11   231 14999    48   145     5     0  2856
     4     0  8164   472     0    17  7700  2942     5     0  2312   223
     2  5519   382   435     3   113    11    64   784  1201     0    19
     6    43 14999 14999  5941    35   501    16     0  2381     4  4323
     2     6  6778     5 11041     1    26  1065 14999   690    86    26
  6777  8726 14999  3253  7048 14999    35   903  2008    11 14999     6
  2542    15    26   296     1     2    11   296  2442    21    53   243
     1    24 14999  3197     4   869 14999    35    25    22 11979     8
    26 14999     1  8726   263    15 14999    22   107  1740     5   811
    56    22    26 10205     4 14999     2  2282    11    24     6     8
  1734   357     4  8130     1    18 14999     6    49    30    26   296
    57    44    26  4761   692    21     1    24 14999   869  8583     2
    57    45  1681  4728    15    91     1 14999 13660    26  1573    33
  2078    56   131 14999 14999     1     7     6    10    49  8663    11
  5078     0   304    22    48   656  2927   179    66    87  1710 14999
     6     2   238    87 14999    24    12   415    33   108    98   549
     5    26   296    51     3  1562   240   263   964     8 14999    12
  1549    24  5328  8757     5     0  1159    11    54    13  8599    33
    29     4    26 10205     1    18    87    94    24   119     1     6
 14999    11    49    30    26   296     1  8726  5078    86     2 14999
  5636   145     1    62  3376   415    14  7555    14 14999    12   357
     5   166    10   964   240   259     0  5155    16     0    65    13
   787     7   152    21    27   101 14999     1     9    84   194  1057
     5   761  5941   189    35   286     0 14999   104    53    72     1
  6306  8130     1  3624    43   288    35    12   775    26 10205     1
  5294    15   146    24    12  1749    16 14999     1  5294    15   306
    16   253     5    82    48     4   178    24   123     1   181     3
   637     8   104  1073    16  5941     1    18   654    86    39    12
    23    74   317     1    48     4     0   685    25   787   457     2
  1698    18    39    25    37   107    79   677    14     5    28  1334
     9   228    28     0    89     5   966    11 14999  2805     6     3
 13669  1873   150   105     1    18    11  5493    45  4287     1     0
  1117  3335   435   146  4287     6     0  3218     4   542  5449   777
   137     1   279    14 12794    14 14999    58   119    11   776     3
   651    58    28     3   640 14999     1    40 14999   144     3   777
   130     1    40   776  1948     1     7   400   654     2  1446     0
    19     5    55   129     0    79 13169   172     4    10    19     6
    11    70   111    77    83 14905  7048   104  8726     1    54    12
   220  3260    33     0 14999    30     0   129     4     0    19     2
    70   175   111 14999     5    47    41 14999   231    28    84    54
   752    40   545     1    84    54   129    56    38 14999    44    54
   123   752     1    10   209    21     3   478    19    14     7   123
  1133    22    48  2904  1498  1525    18     0    65    14     3   217
   902     5    28 14999    56     1]",0
13,"[    9  1010    15  1672     7    12     3    53  2105   753    17     4
   261    87   107    49  1835   674   692    21  2105     1    44     9
   385  4619     0  4170     5     0   748    13     3   429     4  7084
    18    23  3133     4    85     0  1311  7376     0  6240    67   159
    76     3   127    35    67   794    76   653    83     3  1311     1
     2    38  4184    32   751     5 14999    26   339    18    23     0
  6108   498     4    86     2    14    15  4184     7  1567     5  1478
     1    39     6    30   221    29   157   550     1    51     0  1484
  3293   104    35    50    21   166   101  1518   639     0  2438  3364
  3520    39    12     3   241     4  6170   550    18    93     0   569
   149   151    21   574   100    31     1]",1
14,"[   39    12   160   163    16    69     5   136   588     4    78  1591
   132     2   132     8     0   168  2145     1     0   177    13  4194
    18   464     0  1241   156  3130   547 14999     1    24   142    27
  4408  4807  4104    44    23    16    26   195  2122    93    16     0
   326    35  1052     8 14999  2526    29     4   131   516  2637   957
  2526     3   147  7962  2526     3   147  3130  2526     3  5000    11
   285    21  2751     5    86     8    48    95     2    35   454     5
    27  7534     5    48    75   321     4  4040   148    22    48   676
  1287  1272  2526     3   147  1684   843  1285   239    31     0 10907
     2   564     3   147    65     1   464    24    38     0 14999     4
     0  1287  1198    96  3702    11    68   376    16    26   153     2
   376    16    26   304     1    70    31  1052   132     2   132     1
   580    88    21    82    11   173  2588     1 14999 14999 14999   354
    60    34  1287   156  1058     5 14665     0 14999 14999     9  1424
    24  3637    52    73    29 14999     5  4234     0   723     1  1406
    39    25   945     4 14999   326   766     8 14999  1530    13     5
   355     3  1461     1]",0
